> python .\main_fed.py --dataset cifar --iid --poison True --src_cate airplane --trg_cate bird --advries 100 --model cnn --epochs 20
1 px by 1 patch
Training and testing on poisoned dataset
C:\Users\maxim\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\torch\nn\functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  ..\c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Round   0, Average loss 2.294
Round   1, Average loss 2.247
Round   2, Average loss 2.100
Round   3, Average loss 1.975
Round   4, Average loss 1.877
Round   5, Average loss 1.794
Round   6, Average loss 1.677
Round   7, Average loss 1.570
Round   8, Average loss 1.527
Round   9, Average loss 1.431
Round  10, Average loss 1.338
Round  11, Average loss 1.264
Round  12, Average loss 1.258
Round  13, Average loss 1.137
Round  14, Average loss 1.069
Round  15, Average loss 1.013
Round  16, Average loss 0.958
Round  17, Average loss 0.864
Round  18, Average loss 0.861
Round  19, Average loss 0.814
Backdoor Attack Success Rate: 10.034013605442176
Testing accuracy: 43.71
Removing trigger patch from datasets
2 px by 2 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.297
Round   1, Average loss 2.248
Round   2, Average loss 2.082
Round   3, Average loss 1.974
Round   4, Average loss 1.904
Round   5, Average loss 1.789
Round   6, Average loss 1.730
Round   7, Average loss 1.661
Round   8, Average loss 1.582
Round   9, Average loss 1.513
Round  10, Average loss 1.439
Round  11, Average loss 1.390
Round  12, Average loss 1.305
Round  13, Average loss 1.231
Round  14, Average loss 1.152
Round  15, Average loss 1.100
Round  16, Average loss 1.015
Round  17, Average loss 0.925
Round  18, Average loss 0.870
Round  19, Average loss 0.814
Backdoor Attack Success Rate: 11.076923076923077
Testing accuracy: 44.52
Removing trigger patch from datasets
3 px by 3 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.297
Round   1, Average loss 2.261
Round   2, Average loss 2.120
Round   3, Average loss 1.948
Round   4, Average loss 1.842
Round   5, Average loss 1.723
Round   6, Average loss 1.667
Round   7, Average loss 1.561
Round   8, Average loss 1.502
Round   9, Average loss 1.450
Round  10, Average loss 1.349
Round  11, Average loss 1.286
Round  12, Average loss 1.193
Round  13, Average loss 1.123
Round  14, Average loss 1.060
Round  15, Average loss 0.972
Round  16, Average loss 0.929
Round  17, Average loss 0.862
Round  18, Average loss 0.819
Round  19, Average loss 0.776
Backdoor Attack Success Rate: 9.854014598540147
Testing accuracy: 43.17
Removing trigger patch from datasets
4 px by 4 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.298
Round   1, Average loss 2.279
Round   2, Average loss 2.184
Round   3, Average loss 2.067
Round   4, Average loss 1.988
Round   5, Average loss 1.853
Round   6, Average loss 1.754
Round   7, Average loss 1.615
Round   8, Average loss 1.534
Round   9, Average loss 1.433
Round  10, Average loss 1.396
Round  11, Average loss 1.278
Round  12, Average loss 1.257
Round  13, Average loss 1.149
Round  14, Average loss 1.081
Round  15, Average loss 1.000
Round  16, Average loss 0.955
Round  17, Average loss 0.865
Round  18, Average loss 0.878
Round  19, Average loss 0.757
Backdoor Attack Success Rate: 21.4527027027027
Testing accuracy: 45.03
Removing trigger patch from datasets
5 px by 5 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.300
Round   1, Average loss 2.290
Round   2, Average loss 2.199
Round   3, Average loss 2.057
Round   4, Average loss 1.958
Round   5, Average loss 1.831
Round   6, Average loss 1.746
Round   7, Average loss 1.649
Round   8, Average loss 1.601
Round   9, Average loss 1.496
Round  10, Average loss 1.445
Round  11, Average loss 1.347
Round  12, Average loss 1.307
Round  13, Average loss 1.258
Round  14, Average loss 1.165
Round  15, Average loss 1.131
Round  16, Average loss 1.011
Round  17, Average loss 0.978
Round  18, Average loss 0.902
Round  19, Average loss 0.878
Backdoor Attack Success Rate: 59.64912280701754
Testing accuracy: 40.20
Removing trigger patch from datasets
6 px by 6 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.300
Round   1, Average loss 2.288
Round   2, Average loss 2.195
Round   3, Average loss 2.050
Round   4, Average loss 1.976
Round   5, Average loss 1.867
Round   6, Average loss 1.788
Round   7, Average loss 1.692
Round   8, Average loss 1.612
Round   9, Average loss 1.502
Round  10, Average loss 1.447
Round  11, Average loss 1.363
Round  12, Average loss 1.322
Round  13, Average loss 1.212
Round  14, Average loss 1.139
Round  15, Average loss 1.053
Round  16, Average loss 0.996
Round  17, Average loss 0.948
Round  18, Average loss 0.887
Round  19, Average loss 0.818
Backdoor Attack Success Rate: 90.1639344262295
Testing accuracy: 39.20
Removing trigger patch from datasets
7 px by 7 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.301
Round   1, Average loss 2.289
Round   2, Average loss 2.191
Round   3, Average loss 2.059
Round   4, Average loss 1.968
Round   5, Average loss 1.871
Round   6, Average loss 1.757
Round   7, Average loss 1.643
Round   8, Average loss 1.574
Round   9, Average loss 1.500
Round  10, Average loss 1.409
Round  11, Average loss 1.334
Round  12, Average loss 1.295
Round  13, Average loss 1.199
Round  14, Average loss 1.124
Round  15, Average loss 1.045
Round  16, Average loss 1.012
Round  17, Average loss 0.916
Round  18, Average loss 0.881
Round  19, Average loss 0.843
Backdoor Attack Success Rate: 92.74537695590327
Testing accuracy: 39.05
Removing trigger patch from datasets
8 px by 8 patch
Training and testing on poisoned dataset
Round   0, Average loss 2.300
Round   1, Average loss 2.292
Round   2, Average loss 2.215
Round   3, Average loss 2.069
Round   4, Average loss 1.979
Round   5, Average loss 1.896
Round   6, Average loss 1.821
Round   7, Average loss 1.716
Round   8, Average loss 1.624
Round   9, Average loss 1.560
Round  10, Average loss 1.468
Round  11, Average loss 1.397
Round  12, Average loss 1.313
Round  13, Average loss 1.244
Round  14, Average loss 1.184
Round  15, Average loss 1.118
Round  16, Average loss 1.043
Round  17, Average loss 1.012
Round  18, Average loss 0.941
